source_name,cleaned_source_name,source_database,target_name,cleaned_target_name,target_database,sequence_identity,name_similarity,predicted_similarity,similarity_difference
Erm(O)-lrm,ermolrm,card,erm(O),ermo,resfinder,1.0,0.5714285714285714,0.9227195571735056,0.3512909857449342
catII from Escherichia coli K-12,catii from escherichia coli k12,card,catA2,cata2,resfinder,1.0,0.16129032258064513,0.9227195571735056,0.7614292345928605
catA4,cata4,card,cat,cat,resfinder,1.0,0.6,0.9227195571735056,0.32271955717350564
fosB,fosb,ncbi,FosB4,fosb4,card,0.988,0.8,0.9065992834737444,0.10659928347374437
aphA15,apha15,card,aph(3')-XV,aph3'xv,ncbi,0.95,0.4285714285714286,0.8555517500911671,0.4269803215197385
aphA15,apha15,card,aph(3')-XV,aph3'xv,resfinder,1.0,0.4285714285714286,0.9227195571735056,0.494148128602077
GOB-2,gob2,card,blaGOB-1,gob1,ncbi,0.986,0.75,0.9039125711904508,0.15391257119045076
blaGOB-45,gob45,ncbi,GOB-1,gob1,card,0.98,0.6,0.8958524343405703,0.2958524343405703
blaGOB-45,gob45,ncbi,blaGOB-18,gob18,resfinder,0.975,0.6,0.8891356536323365,0.2891356536323365
blaGOB-43,gob43,ncbi,GOB-1,gob1,card,0.975,0.6,0.8891356536323365,0.2891356536323365
blaGOB-43,gob43,ncbi,blaGOB-18,gob18,resfinder,0.97,0.6,0.8824188729241025,0.2824188729241025
GOB-3,gob3,card,blaGOB-48,gob48,ncbi,0.984,0.6,0.9012258589071573,0.30122585890715736
blaGOB-48,gob48,ncbi,GOB-10,gob10,card,0.971,0.6,0.8837622290657494,0.28376222906574944
blaGOB-48,gob48,ncbi,blaGOB-1,gob1,resfinder,0.993,0.6,0.9133160641819782,0.3133160641819782
blaGOB-50,gob50,ncbi,GOB-10,gob10,card,0.977,0.8,0.8918223659156299,0.09182236591562987
blaGOB-50,gob50,ncbi,blaGOB-10,gob10,resfinder,0.977,0.8,0.8918223659156299,0.09182236591562987
blaGOB-38,gob38,ncbi,GOB-10,gob10,card,0.979,0.6,0.8945090781989236,0.2945090781989236
blaGOB-38,gob38,ncbi,blaGOB-10,gob10,resfinder,0.979,0.6,0.8945090781989236,0.2945090781989236
GOB-4,gob4,card,blaGOB-48,gob48,ncbi,0.988,0.8,0.9065992834737444,0.10659928347374437
GOB-4,gob4,card,blaGOB-1,gob1,resfinder,0.984,0.75,0.9012258589071573,0.15122585890715734
blaGOB-21,gob21,ncbi,GOB-10,gob10,card,0.965,0.6,0.8757020922158687,0.2757020922158687
blaGOB-21,gob21,ncbi,blaGOB-1,gob1,resfinder,0.974,0.8,0.8877922974906896,0.08779229749068951
GOB-5,gob5,card,blaGOB-10,gob10,resfinder,0.981,0.6,0.897195790482217,0.297195790482217
blaGOB-5,gob5,ncbi,GOB-9,gob9,card,0.97,0.75,0.8824188729241025,0.13241887292410248
blaGOB-5,gob5,ncbi,blaGOB-9,gob9,resfinder,0.97,0.75,0.8824188729241025,0.13241887292410248
GOB-6,gob6,card,blaGOB-21,gob21,ncbi,0.984,0.6,0.9012258589071573,0.30122585890715736
blaGOB-42,gob42,ncbi,GOB-12,gob12,card,0.958,0.8,0.8662985992243413,0.06629859922434123
blaGOB-42,gob42,ncbi,blaGOB-1,gob1,resfinder,0.967,0.6,0.8783888044991623,0.27838880449916237
mcr-5.3,mcr5.3,ncbi,MCR-5.1,mcr5.1,card,0.962,0.8333333333333334,0.8716720237909283,0.03833869045759497
mcr-5.3,mcr5.3,ncbi,mcr-5.1,mcr5.1,resfinder,0.962,0.8333333333333334,0.8716720237909283,0.03833869045759497
mcr-5.4,mcr5.4,ncbi,MCR-5.1,mcr5.1,card,0.962,0.8333333333333334,0.8716720237909283,0.03833869045759497
mcr-5.4,mcr5.4,ncbi,mcr-5.1,mcr5.1,resfinder,0.962,0.8333333333333334,0.8716720237909283,0.03833869045759497
VanHAX,vanhax,resfinder,vanA,vana,card,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
VanHAX,vanhax,resfinder,vanA,vana,ncbi,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanHBX,vanhbx,resfinder,vanB,vanb,card,0.991,0.6666666666666667,0.9106293518986848,0.24396268523201803
VanHBX,vanhbx,resfinder,vanB,vanb,ncbi,0.991,0.6666666666666667,0.9106293518986848,0.24396268523201803
fosB1,fosb1,resfinder,FosB,fosb,card,0.978,0.8,0.8931657220572766,0.09316572205727658
fosB1,fosb1,resfinder,fosBx1,fosbx1,ncbi,0.992,0.8333333333333334,0.9119727080403315,0.07863937470699811
tet(X),tetx,resfinder,tet(X2),tetx2,ncbi,0.992,0.8,0.9119727080403315,0.11197270804033144
VanC1XY,vanc1xy,resfinder,vanC,vanc,card,1.0,0.5714285714285714,0.9227195571735056,0.3512909857449342
VanC1XY,vanc1xy,resfinder,vanC,vanc,ncbi,1.0,0.5714285714285714,0.9227195571735056,0.3512909857449342
qepA3,qepa3,resfinder,QepA1,qepa1,card,1.0,0.8,0.9227195571735056,0.12271955717350558
cfiA13,cfia13,resfinder,CcrA,ccra,card,1.0,0.33333333333333337,0.9227195571735056,0.5893862238401723
blaB-11,b11,resfinder,Chryseobacterium meningosepticum BlaB,b,card,0.991,0.33333333333333337,0.9106293518986848,0.5772960185653514
mef(A),mefa,resfinder,mel,mel,card,1.0,0.5,0.9227195571735056,0.4227195571735056
blaZ,z,resfinder,PC1 beta-lactamase (blaZ),pc1 betalactamase z,card,0.96,0.052631578947368474,0.8689853115076349,0.8163537325602664
blaZ,z,resfinder,blaPC1,pc1,ncbi,0.971,0.0,0.8837622290657494,0.8837622290657494
blaEBR-1,ebr1,resfinder,EBR-1 beta-lactamase,ebr1 betalactamase,card,1.0,0.2222222222222222,0.9227195571735056,0.7004973349512834
rmtB,rmtb,resfinder,rmtB1,rmtb1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaTEM-1A,tem1a,resfinder,TEM-1,tem1,card,1.0,0.8,0.9227195571735056,0.12271955717350558
blaTEM-1A,tem1a,resfinder,blaTEM-1,tem1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaTEM-77,tem77,resfinder,TEM-73,tem73,card,1.0,0.8,0.9227195571735056,0.12271955717350558
blaOXA-34,oxa34,resfinder,blaOXA-2,oxa2,ncbi,0.975,0.6,0.8891356536323365,0.2891356536323365
blaACT-5,act5,resfinder,blaACT-21,act21,ncbi,0.997,0.6,0.9186894887485653,0.3186894887485653
blaCMY-98,cmy98,resfinder,blaCMY-159,cmy159,ncbi,0.981,0.5,0.897195790482217,0.397195790482217
blaMOR,mor,resfinder,DHA-21,dha21,card,1.0,0.0,0.9227195571735056,0.9227195571735056
blaMOR,mor,resfinder,blaDHA-21,dha21,ncbi,1.0,0.0,0.9227195571735056,0.9227195571735056
blaVEB-7,veb7,resfinder,blaVEB-21,veb21,ncbi,0.996,0.6,0.9173461326069186,0.3173461326069186
blaOXY-1-7,oxy17,resfinder,OXY-1-1,oxy11,card,1.0,0.8,0.9227195571735056,0.12271955717350558
blaOXY-1-7,oxy17,resfinder,blaOXY-1-1,oxy11,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaLEN17,len17,resfinder,LEN-7,len7,card,0.996,0.8,0.9173461326069186,0.11734613260691851
blaLEN18,len18,resfinder,LEN-10,len10,card,0.996,0.8,0.9173461326069186,0.11734613260691851
blaLEN18,len18,resfinder,blaLEN-10,len10,ncbi,0.996,0.8,0.9173461326069186,0.11734613260691851
aac(6')-Ib-Suzhou,aac6'ibsuzhou,resfinder,aac(6')-Ib3,aac6'ib3,ncbi,0.988,0.5384615384615384,0.9065992834737444,0.368137745012206
aac(6')-Ib-Hangzhou,aac6'ibhangzhou,resfinder,catB8/aac(6')-Ib',catb8/aac6'ib',ncbi,0.986,0.1333333333333333,0.9039125711904508,0.7705792378571175
aac(6')-aph(2''),aac6'aph2'',resfinder,AAC(6')-Ie-APH(2'')-Ia,aac6'ieaph2''ia,card,1.0,0.7333333333333334,0.9227195571735056,0.18938622384017223
aac(6')-aph(2''),aac6'aph2'',resfinder,aac(6')-Ie/aph(2'')-Ia,aac6'ie/aph2''ia,ncbi,0.997,0.6875,0.9186894887485653,0.23118948874856526
ant(3'')-Ii-aac(6')-IId,ant3''iiaac6'iid,resfinder,ANT(3'')-Ii-AAC(6')-IId fusion protein,ant3''iiaac6'iid fusion protein,card,1.0,0.5161290322580645,0.9227195571735056,0.4065905249154411
aac(6')-30-aac(6')-Ib',aac6'30aac6'ib',resfinder,AAC(6')-30/AAC(6')-Ib' fusion protein,aac6'30/aac6'ib' fusion protein,card,1.0,0.4838709677419355,0.9227195571735056,0.4388485894315701
aac(3)-Ib-aac(6')-Ib,aac3ibaac6'ib,resfinder,AAC(3)-Ib/AAC(6')-Ib'',aac3ib/aac6'ib'',card,1.0,0.8125,0.9227195571735056,0.11021955717350562
aac(3)-Ib-aac(6')-Ib,aac3ibaac6'ib,resfinder,aac(3)-Ib/aac(6')-Ib'',aac3ib/aac6'ib'',ncbi,1.0,0.8125,0.9227195571735056,0.11021955717350562
aadA10,aada10,resfinder,aadA6/aadA10,aada6/aada10,card,1.0,0.5,0.9227195571735056,0.4227195571735056
aadA10,aada10,resfinder,aadA6,aada6,ncbi,0.95,0.6666666666666667,0.8555517500911671,0.1888850834245004
ant(4')-Ib,ant4'ib,resfinder,aadD2,aadd2,ncbi,1.0,0.1428571428571429,0.9227195571735056,0.7798624143163627
ant(6)-Ia,ant6ia,resfinder,aad(6),aad6,card,0.996,0.33333333333333337,0.9173461326069186,0.5840127992735852
aph(2'')-Ib,aph2''ib,resfinder,APH(2'')-IIa,aph2''iia,card,0.989,0.7777777777777778,0.9079426396153911,0.13016486183761333
aph(2'')-Ib,aph2''ib,resfinder,aph(2'')-IIa,aph2''iia,ncbi,1.0,0.7777777777777778,0.9227195571735056,0.14494177939572783
aph(2'')-Ic,aph2''ic,resfinder,APH(2'')-IIIa,aph2''iiia,card,1.0,0.7,0.9227195571735056,0.22271955717350567
aph(2'')-Ic,aph2''ic,resfinder,aph(2'')-IIIa,aph2''iiia,ncbi,1.0,0.7,0.9227195571735056,0.22271955717350567
aph(2'')-Id,aph2''id,resfinder,APH(2'')-IVa,aph2''iva,card,1.0,0.7777777777777778,0.9227195571735056,0.14494177939572783
aph(2'')-Id,aph2''id,resfinder,aph(2'')-IVa,aph2''iva,ncbi,1.0,0.7777777777777778,0.9227195571735056,0.14494177939572783
rmtF,rmtf,resfinder,rmtF1,rmtf1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
rmtD,rmtd,resfinder,rmtD1,rmtd1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
catB,catb,resfinder,catA15,cata15,ncbi,1.0,0.5,0.9227195571735056,0.4227195571735056
catA1,cata1,resfinder,catI,cati,card,1.0,0.6,0.9227195571735056,0.32271955717350564
catA3,cata3,resfinder,catIII,catiii,card,1.0,0.5,0.9227195571735056,0.4227195571735056
catQ,catq,resfinder,catA16,cata16,ncbi,0.954,0.5,0.8609251746577542,0.3609251746577542
cmlA1,cmla1,resfinder,cmlA6,cmla6,ncbi,0.995,0.8,0.9160027764652718,0.1160027764652718
cmrA,cmra,resfinder,Rhodococcus fascians cmr,cmr,card,1.0,0.75,0.9227195571735056,0.17271955717350562
qnrB52,qnrb52,resfinder,QnrB2,qnrb2,card,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
qnrB53,qnrb53,resfinder,QnrB46,qnrb46,card,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
lnu(F),lnuf,resfinder,linG,ling,card,1.0,0.25,0.9227195571735056,0.6727195571735056
VanEXY,vanexy,resfinder,vanE,vane,card,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanEXY,vanexy,resfinder,vanE,vane,ncbi,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanHFX,vanhfx,resfinder,vanF,vanf,card,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
VanHFX,vanhfx,resfinder,vanF,vanf,ncbi,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
VanGXY,vangxy,resfinder,vanG,vang,card,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanGXY,vangxy,resfinder,vanG,vang,ncbi,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
VanLXY,vanlxy,resfinder,vanL,vanl,card,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanLXY,vanlxy,resfinder,vanL,vanl,ncbi,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanHMX,vanhmx,resfinder,vanM,vanm,card,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanHMX,vanhmx,resfinder,vanM,vanm,ncbi,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanNXY,vannxy,resfinder,vanN,vann,card,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanNXY,vannxy,resfinder,vanN,vann,ncbi,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
VanHOX,vanhox,resfinder,vanHO,vanho,card,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
VanHOX,vanhox,resfinder,vanH-O,vanho,ncbi,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
VanX,vanx,resfinder,vanXA,vanxa,card,0.963,0.8,0.8730153799325753,0.07301537993257523
VanX,vanx,resfinder,vanX-A,vanxa,ncbi,0.963,0.8,0.8730153799325753,0.07301537993257523
blaCEPH-A3,cepha3,resfinder,cphA3,cpha3,card,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
blaCEPH-A3,cepha3,resfinder,cphA3,cpha3,ncbi,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
blaOXA-429,oxa429,resfinder,blaOXA-716,oxa716,ncbi,0.996,0.5,0.9173461326069186,0.41734613260691855
cfr,cfr,resfinder,cfrA,cfra,card,1.0,0.75,0.9227195571735056,0.17271955717350562
blaA,a,resfinder,y56 beta-lactamase,y56 betalactamase,card,0.985,0.05882352941176472,0.902569215048804,0.8437456856370393
qacH,qach,card,qacZ,qacz,resfinder,0.953,0.75,0.8595818185161075,0.10958181851610749
qacZ,qacz,resfinder,qacH,qach,card,0.953,0.75,0.8595818185161075,0.10958181851610749
aadD,aadd,resfinder,ANT(4')-Ib,ant4'ib,card,1.0,0.1428571428571429,0.9227195571735056,0.7798624143163627
erm(44),erm44,resfinder,Erm(44)v,erm44v,card,1.0,0.8333333333333334,0.9227195571735056,0.08938622384017225
ant(3'')-Ia,ant3''ia,resfinder,aadA1,aada1,ncbi,0.996,0.125,0.9173461326069186,0.7923461326069186
blaNPS,nps,resfinder,NPS-1,nps1,card,1.0,0.75,0.9227195571735056,0.17271955717350562
blaNPS,nps,resfinder,blaNPS-1,nps1,ncbi,1.0,0.75,0.9227195571735056,0.17271955717350562
blaHERA-1,hera1,resfinder,blaHER-1,her1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaTRU,tru,resfinder,TRU-1,tru1,card,1.0,0.75,0.9227195571735056,0.17271955717350562
blaTRU,tru,resfinder,blaTRU-1,tru1,ncbi,1.0,0.75,0.9227195571735056,0.17271955717350562
catB1,catb1,resfinder,Agrobacterium fabrum chloramphenicol acetyltransferase,chloramphenicol acetyltransferase,card,1.0,0.09090909090909094,0.9227195571735056,0.8318104662644147
cat(pC194),catpc194,resfinder,Streptococcus suis chloramphenicol acetyltransferase,chloramphenicol acetyltransferase,card,0.953,0.12121212121212122,0.8595818185161075,0.7383696973039863
cat(pC194),catpc194,resfinder,catA,cata,ncbi,0.953,0.375,0.8595818185161075,0.4845818185161075
cat(pC233),catpc233,resfinder,Enterococcus faecium chloramphenicol acetyltransferase,chloramphenicol acetyltransferase,card,1.0,0.12121212121212122,0.9227195571735056,0.8015074359613844
cat(pC221),catpc221,resfinder,Staphylococcus intermedius chloramphenicol acetyltransferase,chloramphenicol acetyltransferase,card,0.981,0.12121212121212122,0.897195790482217,0.7759836692700958
mcr-8,mcr8,resfinder,MCR-8.1,mcr8.1,card,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
mcr-8,mcr8,resfinder,mcr-8.1,mcr8.1,ncbi,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
dfrB8,dfrb8,resfinder,dfrB7,dfrb7,card,1.0,0.8,0.9227195571735056,0.12271955717350558
aac(6')-Iag,aac6'iag,resfinder,aacA48,aaca48,ncbi,1.0,0.375,0.9227195571735056,0.5477195571735056
dfrA6,dfra6,resfinder,dfrA6 from Proteus mirabilis,dfra6 from proteus mirabilis,card,1.0,0.1785714285714286,0.9227195571735056,0.744148128602077
erm(O),ermo,resfinder,Erm(O)-lrm,ermolrm,card,1.0,0.5714285714285714,0.9227195571735056,0.3512909857449342
catA2,cata2,resfinder,catII from Escherichia coli K-12,catii from escherichia coli k12,card,1.0,0.16129032258064513,0.9227195571735056,0.7614292345928605
cat,cat,resfinder,catA4,cata4,card,1.0,0.6,0.9227195571735056,0.32271955717350564
aph(3')-XV,aph3'xv,resfinder,aphA15,apha15,card,1.0,0.4285714285714286,0.9227195571735056,0.494148128602077
rmtE,rmte,resfinder,rmtE1,rmte1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
mcr-9,mcr9,resfinder,MCR-9.1,mcr9.1,card,1.0,0.6666666666666667,0.9227195571735056,0.2560528905068389
blaCMH-3,cmh3,resfinder,CMH-1,cmh1,card,0.986,0.75,0.9039125711904508,0.15391257119045076
blaGOB-16,gob16,resfinder,blaGOB-17,gob17,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaGOB-6,gob6,resfinder,blaGOB-21,gob21,ncbi,0.983,0.6,0.8998825027655106,0.29988250276551065
blaHERA-2,hera2,resfinder,blaHER-2,her2,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaHERA-3,hera3,resfinder,blaHER-3,her3,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaHERA-4,hera4,resfinder,blaHER-4,her4,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaHERA-5,hera5,resfinder,blaHER-5,her5,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaHERA-6,hera6,resfinder,blaHER-6,her6,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
blaHERA-8,hera8,resfinder,blaHER-8,her8,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
ampH,amph,resfinder,OXA-724,oxa724,card,1.0,0.16666666666666663,0.9227195571735056,0.756052890506839
ampH,amph,resfinder,blaOXA-724,oxa724,ncbi,1.0,0.16666666666666663,0.9227195571735056,0.756052890506839
tet(X6),tetx6,resfinder,tet(X5),tetx5,ncbi,0.989,0.8,0.9079426396153911,0.10794263961539108
qacL,qacl,card,qacH,qach,resfinder,0.963,0.75,0.8730153799325753,0.12301537993257528
qacH,qach,resfinder,qacL,qacl,card,0.963,0.75,0.8730153799325753,0.12301537993257528
aac(6')-Ib-cr,aac6'ibcr,resfinder,catB8/aac(6')-Ib',catb8/aac6'ib',ncbi,0.954,0.4285714285714286,0.8609251746577542,0.4323537460863256
blaOXA-395,oxa395,resfinder,OXA-846,oxa846,card,0.992,0.5,0.9119727080403315,0.4119727080403315
blaOXA-494,oxa494,resfinder,OXA-850,oxa850,card,0.996,0.5,0.9173461326069186,0.41734613260691855
blaOXA-565,oxa565,resfinder,OXA-818,oxa818,card,0.989,0.5,0.9079426396153911,0.4079426396153911
mcr-3.25,mcr3.25,resfinder,mcr-3.41,mcr3.41,card,0.998,0.7142857142857143,0.920032844890212,0.20574713060449767
dfrA22,dfra22,resfinder,dfr22,dfr22,card,0.975,0.8333333333333334,0.8891356536323365,0.055802320299003116
blaGOB-17,gob17,resfinder,GOB-16,gob16,card,1.0,0.8,0.9227195571735056,0.12271955717350558
blaGOB-1,gob1,resfinder,blaGOB-48,gob48,ncbi,0.993,0.6,0.9133160641819782,0.3133160641819782
blaGOB-1,gob1,resfinder,GOB-10,gob10,card,0.974,0.8,0.8877922974906896,0.08779229749068951
qepA,qepa,resfinder,qepA5,qepa5,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
ampS,amps,resfinder,blaOXA-725,oxa725,ncbi,1.0,0.16666666666666663,0.9227195571735056,0.756052890506839
blaOXA-410,oxa410,resfinder,OXA-91,oxa91,card,0.96,0.6666666666666667,0.8689853115076349,0.20231864484096818
blaOXA-410,oxa410,resfinder,blaOXA-91,oxa91,ncbi,0.96,0.6666666666666667,0.8689853115076349,0.20231864484096818
blaOXA-534,oxa534,resfinder,OXA-1,oxa1,card,0.952,0.5,0.8582384623744608,0.3582384623744608
blaGOB-2,gob2,resfinder,blaGOB-1,gob1,ncbi,0.985,0.75,0.902569215048804,0.15256921504880405
blaCMY-8b,cmy8b,resfinder,CMY-8,cmy8,card,0.957,0.8,0.8649552430826946,0.06495524308269451
ant(3'')-Ih-aac(6')-IId,ant3''ihaac6'iid,resfinder,ANT(3'')-Ii-AAC(6')-IId fusion protein,ant3''iiaac6'iid fusion protein,card,1.0,0.4838709677419355,0.9227195571735056,0.4388485894315701
aac(6')-Ib,aac6'ib,resfinder,AAC(6')-Ib10,aac6'ib10,card,0.984,0.7777777777777778,0.9012258589071573,0.12344808112937955
aac(6')-Ib,aac6'ib,resfinder,catB8/aac(6')-Ib',catb8/aac6'ib',ncbi,0.979,0.5,0.8945090781989236,0.39450907819892356
aadA1,aada1,resfinder,aadA22,aada22,card,0.996,0.6666666666666667,0.9173461326069186,0.2506794659402518
aadA1,aada1,resfinder,aadA22,aada22,ncbi,0.996,0.6666666666666667,0.9173461326069186,0.2506794659402518
cepA-49,cepa49,resfinder,cepA,cepa,card,0.97,0.6666666666666667,0.8824188729241025,0.21575220625743574
cepA-44,cepa44,resfinder,cepA,cepa,card,0.964,0.6666666666666667,0.874358736074222,0.20769206940755525
blaSPU-1,spu1,resfinder,blaCSP-1,csp1,ncbi,1.0,0.5,0.9227195571735056,0.4227195571735056
mcr-3.22,mcr3.22,resfinder,MCR-3.4,mcr3.4,card,0.967,0.7142857142857143,0.8783888044991623,0.16410309021344804
blaOXA-396,oxa396,resfinder,OXA-850,oxa850,card,0.98,0.5,0.8958524343405703,0.39585243434057027
blaIMP-53,imp53,resfinder,IMP-45,imp45,card,0.985,0.6,0.902569215048804,0.3025692150488041
vga(A)V,vgaav,resfinder,vga(A),vgaa,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
fosB,fosb,resfinder,FosB4,fosb4,card,0.988,0.8,0.9065992834737444,0.10659928347374437
rmtB2,rmtb2,resfinder,rmtB,rmtb,card,0.951,0.8,0.8568951062328138,0.0568951062328138
blaGOB-3,gob3,resfinder,blaGOB-48,gob48,ncbi,0.983,0.6,0.8998825027655106,0.29988250276551065
mcr-3.16,mcr3.16,resfinder,MCR-3.3,mcr3.3,card,0.967,0.7142857142857143,0.8783888044991623,0.16410309021344804
blaOXA-60b,oxa60b,resfinder,OXA-60,oxa60,card,0.953,0.8333333333333334,0.8595818185161075,0.026248485182774117
blaOXA-60b,oxa60b,resfinder,blaOXA-60,oxa60,ncbi,0.953,0.8333333333333334,0.8595818185161075,0.026248485182774117
blaBKC,bkc,resfinder,BKC-1,bkc1,card,1.0,0.75,0.9227195571735056,0.17271955717350562
blaBKC,bkc,resfinder,blaBKC-1,bkc1,ncbi,1.0,0.75,0.9227195571735056,0.17271955717350562
blaACC-1c,acc1c,resfinder,ACC-5,acc5,card,0.954,0.6,0.8609251746577542,0.2609251746577542
blaOXA-102,oxa102,resfinder,blaOXA-817,oxa817,ncbi,1.0,0.5,0.9227195571735056,0.4227195571735056
blaOXA-102,oxa102,resfinder,OXA-133,oxa133,card,0.962,0.6666666666666667,0.8716720237909283,0.2050053571242616
fosA,fosa,resfinder,FosA2,fosa2,card,0.968,0.8,0.8797321606408091,0.07973216064080901
blaTEM-1B,tem1b,resfinder,TEM-1,tem1,card,1.0,0.8,0.9227195571735056,0.12271955717350558
blaTEM-1B,tem1b,resfinder,blaTEM-1,tem1,ncbi,1.0,0.8,0.9227195571735056,0.12271955717350558
qnrB2,qnrb2,ncbi,QnrB20,qnrb20,card,0.995,0.8333333333333334,0.9160027764652718,0.08266944313193847
blaPDC-195,pdc195,ncbi,PDC-3,pdc3,card,0.997,0.5,0.9186894887485653,0.41868948874856526
blaPDC-361,pdc361,ncbi,PDC-19a,pdc19a,card,0.997,0.5,0.9186894887485653,0.41868948874856526
blaOXA-716,oxa716,ncbi,OXA-429,oxa429,card,0.996,0.5,0.9173461326069186,0.41734613260691855
blaOXA-716,oxa716,ncbi,blaOXA-429,oxa429,resfinder,0.996,0.5,0.9173461326069186,0.41734613260691855
blaDHA-4,dha4,ncbi,DHA-1,dha1,card,0.997,0.75,0.9186894887485653,0.16868948874856526
blaPDC-60,pdc60,ncbi,PDC-5,pdc5,card,0.997,0.6,0.9186894887485653,0.3186894887485653
blaVEB-21,veb21,ncbi,VEB-7,veb7,card,0.996,0.6,0.9173461326069186,0.3173461326069186
blaVEB-21,veb21,ncbi,blaVEB-7,veb7,resfinder,0.996,0.6,0.9173461326069186,0.3173461326069186
blaPDC-127,pdc127,ncbi,PDC-68,pdc68,card,0.997,0.5,0.9186894887485653,0.41868948874856526
blaOXA-654,oxa654,ncbi,OXA-66,oxa66,card,0.996,0.6666666666666667,0.9173461326069186,0.2506794659402518
blaOXA-654,oxa654,ncbi,blaOXA-66,oxa66,resfinder,0.996,0.6666666666666667,0.9173461326069186,0.2506794659402518
blaGES-35,ges35,ncbi,GES-22,ges22,card,0.996,0.6,0.9173461326069186,0.3173461326069186
blaGES-35,ges35,ncbi,blaGES-22,ges22,resfinder,0.996,0.6,0.9173461326069186,0.3173461326069186
blaPDC-302,pdc302,ncbi,PDC-45,pdc45,card,0.997,0.5,0.9186894887485653,0.41868948874856526
blaCTX-M-222,ctxm222,ncbi,CTX-M-1,ctxm1,card,0.996,0.5714285714285714,0.9173461326069186,0.34591756117834715
blaCTX-M-222,ctxm222,ncbi,blaCTX-M-1,ctxm1,resfinder,0.996,0.5714285714285714,0.9173461326069186,0.34591756117834715
blaOXA-691,oxa691,ncbi,OXA-314,oxa314,card,0.996,0.5,0.9173461326069186,0.41734613260691855
blaOXA-691,oxa691,ncbi,blaOXA-314,oxa314,resfinder,0.996,0.5,0.9173461326069186,0.41734613260691855
blaOXA-750,oxa750,ncbi,OXA-104,oxa104,card,0.996,0.5,0.9173461326069186,0.41734613260691855
blaOXA-750,oxa750,ncbi,blaOXA-104,oxa104,resfinder,0.996,0.5,0.9173461326069186,0.41734613260691855
blaIMP-83,imp83,ncbi,IMP-18,imp18,card,0.995,0.6,0.9160027764652718,0.31600277646527186
blaIMP-83,imp83,ncbi,blaIMP-18,imp18,resfinder,0.995,0.6,0.9160027764652718,0.31600277646527186
blaPDC-336,pdc336,ncbi,PDC-86,pdc86,card,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
blaPDC-341,pdc341,ncbi,PDC-56,pdc56,card,0.997,0.5,0.9186894887485653,0.41868948874856526
blaPDC-348,pdc348,ncbi,PDC-7,pdc7,card,0.997,0.5,0.9186894887485653,0.41868948874856526
blaPDC-381,pdc381,ncbi,PDC-346,pdc346,card,0.997,0.6666666666666667,0.9186894887485653,0.2520228220818985
blaOXA-876,oxa876,ncbi,OXA-66,oxa66,card,0.996,0.6666666666666667,0.9173461326069186,0.2506794659402518
blaOXA-876,oxa876,ncbi,blaOXA-66,oxa66,resfinder,0.996,0.6666666666666667,0.9173461326069186,0.2506794659402518
blaOXA-891,oxa891,ncbi,OXA-314,oxa314,card,0.996,0.5,0.9173461326069186,0.41734613260691855
