id	database	name	metadata	card: id	card: name	card: match_type	card: match_identity	card: match_coverage	card: metadata	ncbi: id	ncbi: name	ncbi: match_type	ncbi: match_identity	ncbi: match_coverage	ncbi: metadata
blaCMY-116	resfinder	blaCMY-116	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3002127	CMY-116	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859718.1	blaCMY-116	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-116
blaCMY-117	resfinder	blaCMY-117	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3002128	CMY-117	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859722.1	blaCMY-117	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-117
blaCMY-118	resfinder	blaCMY-118	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3002129	CMY-118	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859728.1	blaCMY-118	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-118
blaCMY-119	resfinder	blaCMY-119	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3002130	CMY-119	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859734.1	blaCMY-119	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-119
blaCMY-12	resfinder	blaCMY-12	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3002023	CMY-12	RBH	1.0	1.0	PMID: ['12407124'], is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859743.1	blaCMY-12	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-12
blaCMY-121	resfinder	blaCMY-121	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003129	CMY-121	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_276442334.1	blaCMY-121	RBH	1.0	0.9973753280839895	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-121
blaCMY-122	resfinder	blaCMY-122	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003130	CMY-122	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859757.1	blaCMY-122	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-122
blaCMY-124	resfinder	blaCMY-124	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003132	CMY-124	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859763.1	blaCMY-124	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-124
blaCMY-125	resfinder	blaCMY-125	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003133	CMY-125	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859768.1	blaCMY-125	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-125
blaCMY-127	resfinder	blaCMY-127	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003135	CMY-127	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859770.1	blaCMY-127	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-127
blaCMY-128	resfinder	blaCMY-128	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003136	CMY-128	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859772.1	blaCMY-128	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-128
blaCMY-129	resfinder	blaCMY-129	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003137	CMY-129	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859777.1	blaCMY-129	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-129
blaCMY-13	resfinder	blaCMY-13	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3002024	CMY-13	RBH	1.0	1.0	PMID: ['15273143'], is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_020996270.1	blaCMY-13	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: extended-spectrum class C beta-lactamase CMY-13
blaCMY-130	resfinder	blaCMY-130	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003138	CMY-130	RBH	1.0	1.0	PMID: ['26048440'], is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859784.1	blaCMY-130	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-130
blaCMY-131	resfinder	blaCMY-131	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003170	CMY-131	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859788.1	blaCMY-131	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-131
blaCMY-132	resfinder	blaCMY-132	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003652	CMY-132	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859793.1	blaCMY-132	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-132
blaCMY-133	resfinder	blaCMY-133	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003653	CMY-133	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859798.1	blaCMY-133	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-133
blaCMY-134	resfinder	blaCMY-134	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3003654	CMY-134	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859802.1	blaCMY-134	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-134
blaCMY-135	resfinder	blaCMY-135	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3004778	CMY-135	RBH	1.0	1.0	PMID: ['26126492'], is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859809.1	blaCMY-135	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-135
blaCMY-138	resfinder	blaCMY-138	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005220	CMY-138	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859814.1	blaCMY-138	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-138
blaCMY-139	resfinder	blaCMY-139	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005191	CMY-139	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859815.1	blaCMY-139	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-139
blaCMY-14	resfinder	blaCMY-14	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3002025	CMY-14	RBH	1.0	1.0	PMID: ['15504832'], is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859816.1	blaCMY-14	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-14
blaCMY-140	resfinder	blaCMY-140	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005185	CMY-140	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_065102238.1	blaCMY-140	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-140
blaCMY-141	resfinder	blaCMY-141	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005196	CMY-141	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_065644637.1	blaCMY-141	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-141
blaCMY-142	resfinder	blaCMY-142	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005195	CMY-142	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_070064537.1	blaCMY-142	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-142
blaCMY-143	resfinder	blaCMY-143	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005204	CMY-143	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_071593223.1	blaCMY-143	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-143
blaCMY-144	resfinder	blaCMY-144	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005219	CMY-144	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_071593224.1	blaCMY-144	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-144
blaCMY-145	resfinder	blaCMY-145	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005197	CMY-145	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_075985684.1	blaCMY-145	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-145
blaCMY-146	resfinder	blaCMY-146	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005181	CMY-146	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_075985683.1	blaCMY-146	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-146
blaCMY-147	resfinder	blaCMY-147	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005180	CMY-147	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_077767289.1	blaCMY-147	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-147
blaCMY-148	resfinder	blaCMY-148	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005192	CMY-148	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_085562395.1	blaCMY-148	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-148
blaCMY-149	resfinder	blaCMY-149	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005190	CMY-149	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_085562396.1	blaCMY-149	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-149
blaCMY-15	resfinder	blaCMY-15	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3002026	CMY-15	RBH	1.0	1.0	PMID: ['15504832'], is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_063859817.1	blaCMY-15	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-15
blaCMY-150	resfinder	blaCMY-150	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, AZTREONAM, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005016	CMY-150	RBH	1.0	1.0	PMID: ['31785341'], is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_106672612.1	blaCMY-150	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-150
blaCMY-151	resfinder	blaCMY-151	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005217	CMY-151	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_085562420.1	blaCMY-151	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-151
blaCMY-152	resfinder	blaCMY-152	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005216	CMY-152	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_032937778.1	blaCMY-152	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-152
blaCMY-153	resfinder	blaCMY-153	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005218	CMY-153	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_087587949.1	blaCMY-153	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-153
blaCMY-154	resfinder	blaCMY-154	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005194	CMY-154	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_088245213.1	blaCMY-154	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-154
blaCMY-155	resfinder	blaCMY-155	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005200	CMY-155	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_094009802.1	blaCMY-155	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-155
blaCMY-156	resfinder	blaCMY-156	phenotype: confers resistance to: AMOXICILLIN, AMOXICILLIN+CLAVULANIC ACID, AMPICILLIN, AMPICILLIN+CLAVULANIC ACID, CEFOTAXIME, CEFOXITIN, CEFTAZIDIME, PIPERACILLIN, PIPERACILLIN+TAZOBACTAM, TICARCILLIN, TICARCILLIN+CLAVULANIC ACID	ARO3005182	CMY-156	RBH	1.0	1.0	is_a: ARO:3000069:CMY beta-lactamase, phenotype: confers resistance to drug class: SECOND-GENERATION CEPHALOSPORIN	WP_104009849.1	blaCMY-156	RBH	1.0	1.0	phenotype: confers resistance to subclass: CEPHALOSPORIN, product: class C beta-lactamase CMY-156
